Date_Time,Rainfall,Solar_Energy,Relative_Humidity,Temperature,ObjectId
2016/08/03 03:00:00+00,0,0.5,,,479
2006/10/11 20:00:00+00,0,-3.3,79.1,12.8,480
2015/12/04 19:00:00+00,0,0,,,481
2011/05/01 08:00:00+00,0,381.5,61.4,14.4,482
2011/05/28 03:00:00+00,0,1.3,94.3,10.8,483
2006/03/08 03:00:00+00,0.2,-0.2,97.8,9.1,484
2015/12/05 01:00:00+00,0,0,,,485
2015/12/06 06:00:00+00,0.2,0,,,486
2015/12/08 12:00:00+00,0,176.2,,,487
2015/12/09 02:00:00+00,0,0,,,488
2015/12/09 20:00:00+00,0,0,,,489
2015/12/11 01:00:00+00,0,0.1,,,490
2015/12/14 00:00:00+00,0,0,,,491
2015/12/16 18:00:00+00,0,0,,,492
2015/12/18 14:00:00+00,0,112.7,,,493
2015/12/20 06:00:00+00,0,0,,,494
2015/12/21 20:00:00+00,0,0,,,495
2015/12/23 20:00:00+00,0,0,,,496
2015/12/25 19:00:00+00,0,0,,,497
2015/12/27 06:00:00+00,0.8,0,,,498
2015/12/28 14:00:00+00,0,84.5,,,499
2015/12/30 06:00:00+00,0,0,,,500
2016/01/03 03:00:00+00,0,0,,,501
2016/01/08 18:00:00+00,0,0,,,502
2016/01/14 02:00:00+00,0,0,,,503
2016/01/14 06:00:00+00,0,0,,,504
2016/01/15 23:00:00+00,0,0,,,505
2016/01/16 06:00:00+00,0,0,,,506
2016/01/16 19:00:00+00,0,0,,,507
2016/01/21 08:00:00+00,0,0.4,,,508
2016/01/24 08:00:00+00,0,0.5,,,509
2016/01/31 10:00:00+00,0.2,35.7,,,510
2016/02/01 00:00:00+00,0,0,,,511
2016/02/03 08:00:00+00,0,4.3,,,512
2016/02/08 21:00:00+00,0,0,,,513
